title ,worldwide gross (m),% budget recovered,X times budget recovered,budget  (millions),domestic gross (m),domestic %,international gross (m),% of gross from international,worldwide gross,year,decade,source,budget source,force label,horror
The King's Speech,427,2849%,28.5,15,139,32.5%,289,67.5%,427374317,2010,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=495,https://en.wikipedia.org/wiki/The_King%27s_Speech,,not horror
The King's Speech,139,925%,9.3,15,138.8,100.0%,275.4,198.4%,414200000,2010,2010's,,,,not horror
The Last Airbender,320,213%,2.1,150,132,41.2%,188,58.8%,319713881,2010,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=682,"https://en.wikipedia.org/wiki/The_Last_Airbender_(2010_film)#:~:text=However%2C%20James%20Newton%20Howard's,domestically%20and%20%24319%20million%20worldwide.",,not horror
The Last Exorcism,41,2279%,22.8,1.8,41,100.0%,26.7,65.1%,67730000,2010,2010's,,,,horror
The Last Jedi,1333,420%,4.2,317,620,46.5%,713,53.5%,1332698830,2017,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=215,https://en.wikipedia.org/wiki/Star_Wars:_The_Last_Jedi,,not horror
The Last Samurai,455,325%,3.2,140,111,24.4%,344,75.6%,454627263,2003,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=469,https://en.wikipedia.org/wiki/The_Last_Samurai,,not horror
The Lazarus Effect,64,1943%,19.4,3.3,25.8,40.2%,38.3,59.8%,64110728,2015,2010's,,,,horror
The Legend of Tarzan,357,198%,2,180,127,35.5%,230,64.5%,356700357,2016,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=604,"https://en.wikipedia.org/wiki/The_Legend_of_Tarzan_(film)#:~:text=Reception-,Box%20office,even%20and%20justify%20a%20sequel.",,not horror
The Lego Batman Movie,312,390%,3.9,80,176,56.4%,136,43.6%,312136671,2017,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=694,"https://en.wikipedia.org/wiki/The_Lego_Batman_Movie#:~:text=The%20Lego%20Batman%20Movie%20grossed,production%20budget%20of%20%2480%20million.",,not horror
The Lego Movie,468,720%,7.2,65,258,55.1%,210,44.9%,468266122,2014,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=457,"https://en.wikipedia.org/wiki/The_Lego_Movie#:~:text=The%20Lego%20Movie%20premiered%20in,%2C%20story%2C%20humor%20and%20acting.",,not horror
The Lion King,1663,640%,6.4,260,544,32.7%,1120,67.3%,1663250487,2019,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=207,https://en.wikipedia.org/wiki/The_Lion_King_(2019_film),,not horror
The Lion King,1064,2364%,23.6,45,423,39.8%,641,60.2%,1063611805,1994,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=238,https://en.wikipedia.org/wiki/The_Lion_King,,not horror
"The Lion, the Witch and the Wardrobe",745,414%,4.1,180,292,39.2%,453,60.8%,745013115,2005,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=320,"https://en.wikipedia.org/wiki/The_Chronicles_of_Narnia:_The_Lion,_the_Witch_and_the_Wardrobe",,not horror
The Lorax,349,499%,5,70,214,61.4%,135,38.6%,349183316,2012,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=626,https://en.wikipedia.org/wiki/The_Lorax_(film),,not horror
The Lost World: Jurassic Park,619,847%,8.5,73,229,37.0%,390,63.0%,618638999,1997,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=368,https://en.wikipedia.org/wiki/The_Lost_World:_Jurassic_Park,,not horror
The Martian,631,584%,5.8,108,228,36.2%,402,63.8%,630620818,2015,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=359,"https://en.wikipedia.org/wiki/The_Martian_(film)#:~:text=The%20Martian%20was%20a%20financial,a%20budget%20of%20%24108%20million.",,not horror
The Mask,352,1953%,19.5,18,120,34.1%,232,65.9%,351583407,1994,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=620,"https://en.wikipedia.org/wiki/The_Mask_(1994_film)#:~:text=The%20film%20grossed%20over%20%24351,Diaz%20as%20a%20leading%20lady.",,not horror
The Matrix,467,742%,7.4,63,172,36.8%,295,63.2%,467222728,1999,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=460,"https://en.wikipedia.org/wiki/The_Matrix#:~:text=The%20Matrix%20opened%20in%20theaters,%2463%20million%20budget%2C%20becoming%20the",,not horror
The Matrix Reloaded,742,495%,4.9,150,282,38.0%,460,62.0%,741847937,2003,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=322,https://en.wikipedia.org/wiki/The_Matrix_Reloaded,,not horror
The Matrix Revolutions,427,285%,2.8,150,139,32.6%,288,67.4%,427344325,2003,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=496,https://en.wikipedia.org/wiki/The_Matrix_Revolutions,,not horror
The Maze Runner,348,1024%,10.2,34,102,29.4%,246,70.6%,348319861,2014,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=627,https://en.wikipedia.org/wiki/The_Maze_Runner_(film),,not horror
The Meg,531,298%,3,178,146,27.4%,385,72.6%,530517320,2018,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=410,https://en.wikipedia.org/wiki/The_Meg,,horror
The Mummy,416,520%,5.2,80,155,37.4%,261,62.6%,415933406,1999,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=506,https://en.wikipedia.org/wiki/The_Mummy_(1999_film),,not horror
The Mummy,409,512%,5.1,80,80,19.6%,329,80.4%,409231607,2017,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=516,https://en.wikipedia.org/wiki/The_Mummy_(1999_film),,not horror
The Mummy Returns,443,452%,4.5,98,202,45.6%,241,54.4%,443280904,2001,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=479,https://en.wikipedia.org/wiki/The_Mummy_Returns,,not horror
The Mummy: Tomb of the Dragon Emperor,403,278%,2.8,145,102,25.4%,301,74.6%,403449830,2008,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=525,https://www.google.com/search?q=the+mummy+tomb+of+the+dragon+emperor+budget&oq=the+mummy+tomb+of+the+dragon+emperor+budget&aqs=chrome..69i57j0i390l3.4832j1j4&sourceid=chrome&ie=UTF-8,,not horror
The Nun,366,1662%,16.6,22,117,32.1%,248,67.9%,365582797,2018,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=585,https://en.wikipedia.org/wiki/The_Nun_(2018_film),,not horror
The Passion of the Christ,612,2040%,20.4,30,371,60.6%,241,39.4%,612054506,2004,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=370,https://en.wikipedia.org/wiki/The_Passion_of_the_Christ,,not horror
The Perfect Storm,329,274%,2.7,120,183,55.6%,146,44.4%,328718434,2000,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=661,https://en.wikipedia.org/wiki/The_Perfect_Storm_(film),,not horror
The Phantom Menace,1027,893%,8.9,115,475,46.2%,553,53.8%,1027082707,1999,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=245,https://en.wikipedia.org/wiki/Star_Wars:_Episode_I_%E2%80%93_The_Phantom_Menace,,not horror
The Polar Express,315,185%,1.9,170,189,59.9%,126,40.1%,315249768,2004,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=686,https://en.wikipedia.org/wiki/The_Polar_Express_(film),,not horror
The Proposal,317,793%,7.9,40,164,51.7%,153,48.3%,317375031,2009,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=683,https://en.wikipedia.org/wiki/The_Proposal_(2009_film),,not horror
The Purge,89,2978%,29.8,3,64.5,72.2%,24.9,27.8%,89328627,2013,2010's,,,,horror
The Purge: Anarchy,111,1229%,12.3,9,72,65.1%,38.6,34.9%,110602999,2014,2010's,,,,horror
The Purge: Election Year,118,1184%,11.8,10,79,66.7%,39.4,33.3%,118416945,2016,2010's,,,,horror
The Revenant,533,395%,3.9,135,184,34.5%,349,65.5%,532950503,2015,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=409,https://en.wikipedia.org/wiki/The_Revenant_(2015_film),,not horror
The Rise of Skywalker,1074,391%,3.9,275,515,48.0%,559,52.0%,1074149279,2019,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=234,"https://en.wikipedia.org/wiki/Star_Wars:_The_Rise_of_Skywalker#:~:text=With%20an%20estimated%20budget%20of,United%20States%20on%20December%2020.",,not horror
The Rock,335,447%,4.5,75,134,40.0%,201,60.0%,335062621,1996,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=647,"https://en.wikipedia.org/wiki/The_Rock_(film)#:~:text=Produced%20on%20a%20%2475%20million,U.S.%20film%20worldwide%20that%20year.",,not horror
The Secret Life of Pets,894,1192%,11.9,75,368,41.2%,526,58.8%,894328469,2016,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=271,https://www.imdb.com/title/tt2709768/,,not horror
The Secret Life of Pets 2,431,575%,5.7,75,159,36.9%,272,63.1%,431058056,2019,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=492,"https://en.wikipedia.org/wiki/The_Secret_Life_of_Pets#:~:text=Reception-,Box%20office,production%20budget%20of%20%2475%20million.",,not horror
The Simpsons Movie,536,715%,7.2,75,183,34.1%,353,65.9%,536414293,2007,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=408,https://en.wikipedia.org/wiki/The_Simpsons_Movie,,not horror
The Sixth Sense,673,1682%,16.8,40,294,43.6%,379,56.4%,672806432,1999,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=343,https://en.wikipedia.org/wiki/The_Sixth_Sense,,not horror
The Smurfs,564,512%,5.1,110,143,25.3%,421,74.7%,563749323,2011,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=389,https://en.wikipedia.org/wiki/The_Smurfs_(film),,not horror
The Smurfs 2,348,331%,3.3,105,71,20.4%,277,79.6%,347545360,2013,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=628,https://en.wikipedia.org/wiki/The_Smurfs_2,,not horror
The SpongeBob Movie: Sponge Out of Water,325,439%,4.4,74,163,50.1%,162,49.9%,325186032,2015,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=670,"https://en.wikipedia.org/wiki/The_SpongeBob_Movie:_Sponge_Out_of_Water#:~:text=The%20SpongeBob%20Movie%3A%20Sponge%20Out%20of%20Water%20grossed%20%24162.9%20million,a%20budget%20of%20%2474%20million.",,not horror
The Twilight Saga: Eclipse,699,1027%,10.3,68,301,43.0%,398,57.0%,698509825,2010,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=335,https://en.wikipedia.org/wiki/The_Twilight_Saga:_Eclipse,,not horror
The Visit,91,1819%,18.2,5,64.7,71.2%,26.2,28.8%,90937439,2015,2010's,,,,horror
The Voyage of the Dawn Treader,416,268%,2.7,155,104,25.1%,311,74.9%,415686217,2010,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=507,https://en.wikipedia.org/wiki/The_Chronicles_of_Narnia:_The_Voyage_of_the_Dawn_Treader,,not horror
The Witch,40,1347%,13.5,3,25.1,62.2%,15.3,37.8%,40423945,2016,2010's,,,,horror
The Wolf of Wall Street,407,407%,4.1,100,117,28.7%,290,71.3%,406878233,2013,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=522,https://www.imdb.com/title/tt0993846/,,not horror
The Wolverine,415,314%,3.1,132,133,32.0%,282,68.0%,414828246,2013,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=509,https://en.wikipedia.org/wiki/The_Wolverine_(film),,not horror
The World Is Not Enough,362,268%,2.7,135,127,35.1%,235,64.9%,361832400,1999,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=594,https://en.wikipedia.org/wiki/The_World_Is_Not_Enough,,not horror
There's Something About Mary,370,1608%,16.1,23,176,47.7%,193,52.3%,369884651,1998,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=577,https://en.wikipedia.org/wiki/There%27s_Something_About_Mary,,not horror
Thor,449,300%,3,150,181,40.3%,268,59.7%,449326618,2011,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=474,https://en.wikipedia.org/wiki/Thor_(film),,not horror
Thor: Love and Thunder,761,304%,3,250,343,45.1%,418,54.9%,760928081,2022,2020's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=310,"https://en.wikipedia.org/wiki/Thor:_Love_and_Thunder#:~:text=The%20film's%20production%20budget%20of,Phase%20Four%20of%20the%20MCU.",,not horror
Thor: Ragnarok,854,474%,4.7,180,315,36.9%,539,63.1%,853983879,2017,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=283,https://en.wikipedia.org/wiki/Thor:_Ragnarok,,not horror
Thor: The Dark World,645,379%,3.8,170,206,32.0%,438,68.0%,644783140,2013,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=355,https://en.wikipedia.org/wiki/Thor:_The_Dark_World,,not horror
Titanic,2202,1101%,11,200,659,30.0%,1542,70.0%,2201647264,1997,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=202,"https://www.cbc.ca/radio/q/blog/titanic-anniversary-20-fascinating-facts-about-the-epic-blockbuster-that-almost-sank-1.4381455#:~:text=With%20a%20budget%20of%20%24200,Avatar%20surpassed%20it%20in%202010.",,not horror
Tomorrow Never Dies,333,303%,3,110,125,37.6%,208,62.4%,333011068,1997,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=653,https://en.wikipedia.org/wiki/Tomorrow_Never_Dies,,not horror
Top Gun,357,2382%,23.8,15,180,50.4%,177,49.6%,357288178,1986,1980's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=603,https://www.google.com/search?q=top+gun+budget&oq=top+gun+budget&aqs=chrome..69i57j0i512l5j0i22i30l4.2621j0j9&sourceid=chrome&ie=UTF-8,,not horror
Top Gun: Maverick,1487,875%,8.7,170,717,48.2%,770,51.8%,1486657763,2022,2020's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=210,https://www.imdb.com/title/tt1745960/,,not horror
Toy Story,394,1315%,13.1,30,223,56.6%,171,43.4%,394436586,1995,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=537,https://en.wikipedia.org/wiki/Toy_Story,,not horror
Toy Story 2,497,553%,5.5,90,246,49.4%,252,50.6%,497375381,1999,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=429,https://en.wikipedia.org/wiki/Toy_Story_2,,not horror
Toy Story 3,1067,533%,5.3,200,415,38.9%,652,61.1%,1066970811,2010,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=236,https://en.wikipedia.org/wiki/Toy_Story_3,,not horror
Toy Story 4,1073,537%,5.4,200,434,40.4%,639,59.6%,1073394593,2019,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=235,https://en.wikipedia.org/wiki/Toy_Story_4,,not horror
Transformers,710,355%,3.5,200,319,45.0%,390,55.0%,709709780,2007,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=331,https://en.wikipedia.org/wiki/Transformers_(film),,not horror
Transformers: Age of Extinction,1104,526%,5.3,210,245,22.2%,859,77.8%,1104054072,2014,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=232,"https://en.wikipedia.org/wiki/Transformers:_Age_of_Extinction#:~:text=Box%20office-,Worldwide,a%20budget%20of%20%24210%20million.",,not horror
Transformers: Dark of the Moon,1124,642%,6.4,175,352,31.4%,771,68.6%,1123794079,2011,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=228,https://en.wikipedia.org/wiki/Captain_Marvel_(film),,not horror
Transformers: Revenge of the Fallen,836,418%,4.2,200,402,48.1%,434,51.9%,836303693,2009,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=286,https://en.wikipedia.org/wiki/Transformers:_Revenge_of_the_Fallen,,not horror
Transformers: The Last Knight,605,279%,2.8,217,130,21.5%,475,78.5%,605425157,2017,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=373,https://www.imdb.com/title/tt3371366/,,not horror
Trolls,347,278%,2.8,125,154,44.4%,193,55.6%,347182886,2016,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=631,"https://en.wikipedia.org/wiki/Trolls_(film)#:~:text=Trolls%20grossed%20%24153.7%20million%20in,a%20budget%20of%20%24125%20million.",,not horror
Tron: Legacy,400,235%,2.4,170,172,43.0%,228,57.0%,400063852,2010,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=533,"https://en.wikipedia.org/wiki/Tron:_Legacy#:~:text=The%20film%20grossed%20%24400%20million,described%20as%20a%20cult%20film.",,not horror
Troy,497,269%,2.7,185,133,26.8%,364,73.2%,497409852,2004,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=428,https://en.wikipedia.org/wiki/Troy_(film),,not horror
True Lies,379,316%,3.2,120,146,38.6%,233,61.4%,378882411,1994,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=559,"https://en.wikipedia.org/wiki/True_Lies#:~:text=Costing%20%24100%E2%80%93120%20million%20to,over%20a%20seven%2Dmonth%20schedule.",,not horror
Truth or Dare,95,2710%,27.1,3.5,40.7,42.9%,54.1,57.1%,94835301,2018,2010's,,,,horror
Twilight,408,1104%,11,37,194,47.5%,214,52.5%,408430415,2008,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=518,https://independent-magazine.org/2021/12/06/from-indie-to-blockbuster-the-evolution-of-the-twilight-saga/,,not horror
Twilight: Eclipse        ,301,442%,4.4,68,300.5,100.0%,398,132.4%,698490000,2010,2010's,,,,not horror
Twilight: New Moon,711,1422%,14.2,50,298,41.9%,413,58.1%,711025481,2009,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=329,https://en.wikipedia.org/wiki/The_Twilight_Saga:_New_Moon,,not horror
Twister,495,538%,5.4,92,242,48.9%,253,51.1%,494580615,1996,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=431,https://en.wikipedia.org/wiki/Twister_(1996_film),,not horror
Uncharted,402,335%,3.3,120,149,37.0%,253,63.0%,401748820,2022,2020's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=532,https://en.wikipedia.org/wiki/Uncharted_(film),,not horror
Under the Same Moon,23,1371%,13.7,1.7,12.6,54.0%,10.7,46.0%,23310000,2008,2000's,,,,not horror
Up,735,420%,4.2,175,293,39.9%,442,60.1%,735099102,2009,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=323,https://www.the-numbers.com/movie/Up#tab=summary,,not horror
Us,216.6,1083%,10.8,20,152.4,70.4%,64.2,29.6%,216581515,2019,2010's,,,,horror
Venom,856,738%,7.4,116,214,24.9%,643,75.1%,856085151,2018,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=282,https://en.wikipedia.org/wiki/Venom_(2018_film),,not horror
Venom: Let There Be Carnage,507,461%,4.6,110,214,42.1%,293,57.9%,506863592,2021,2020's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=424,https://www.google.com/search?q=venom+let+there+be+carnage+budget&ei=a_yaY4qUPLWFhbIP7ISnkAI&ved=0ahUKEwjK9Zqxuvv7AhW1QkEAHWzCCSIQ4dUDCA8&uact=5&oq=venom+let+there+be+carnage+budget&gs_lcp=Cgxnd3Mtd2l6LXNlcnAQAzIKCAAQgAQQRhD7ATIGCAAQFhAeMgUIABCGAzIFCAAQhgMyBQgAEIYDOgoIABBHENYEELADOgcIABCwAxBDOg0IABDkAhDWBBCwAxgBOg8ILhDUAhDIAxCwAxBDGAI6BwguEEMQ6gQ6BAgAEEM6CgguEMcBENEDEEM6BAguEEM6BwguENQCEEM6FAguEIAEELEDEIMBEMcBENEDENQCOgsIABCABBCxAxCDAToSCC4QQxDqBBDcBBDeBBDfBBgDOgoIABCxAxCDARBDOggILhDUAhCRAjoICC4QgAQQ1AI6CAguELEDEIMBOgoILhCxAxBDEOoEOgsILhCABBCxAxCDAToVCC4QsQMQQxDqBBDcBBDeBBDfBBgDOgUILhCABDoOCC4QrwEQxwEQsQMQgAQ6CAguELEDEIAEOg4ILhCABBCxAxDHARDRAzoICC4QgAQQsQM6EAguENQCELEDEIAEEAoQ6gQ6CgguELEDEIAEEAo6CwguEIAEEMcBEK8BOgoILhCABBCxAxAKOgoIABCABBCxAxAKOgUIABCABDoNCC4Q1AIQsQMQgAQQCjobCC4Q1AIQsQMQgAQQChDqBBDcBBDeBBDgBBgDOgsILhCxAxCRAhDqBDoHCC4QsQMQQzoWCC4QsQMQkQIQ6gQQ3AQQ3gQQ4AQYAzoKCC4QgAQQChDqBDoHCAAQgAQQCjoVCC4QgAQQChDqBBDcBBDeBBDgBBgDOgwILhDqAhC0AhBDGAQ6DAgAEOoCELQCEEMYBDoPCC4Q1AIQ6gIQtAIQQxgEOg0IABCPARDqAhC0AhgFOhAILhCPARDUAhDqAhC0AhgFOgsILhDUAhCRAhDqBDoFCC4QkQI6DgguEMcBELEDENEDEIAEOhYILhDUAhCRAhDqBBDcBBDeBBDgBBgDOgsIABCxAxCDARCRAjoFCAAQkQI6EgguEEMQ6gQQ3AQQ3gQQ4AQYAzoOCC4QsQMQ1AIQkQIQ6gQ6CAguELEDEJECOhkILhCxAxDUAhCRAhDqBBDcBBDeBBDgBBgDOg4ILhDUAhCxAxCRAhDqBDoLCC4QsQMQ1AIQkQI6GQguENQCELEDEJECEOoEENwEEN4EEOAEGAM6CwguENQCELEDEJECOggIABCABBCxAzoICC4QgAQQ6gQ6EwguEIAEEOoEENwEEN4EEOAEGAM6CAgAEBYQHhAKSgQIQRgASgQIRhgBUKAHWOpBYO9DaApwAXgAgAFoiAHHFZIBBDM2LjSYAQCgAQGwARTIARLAAQHaAQYIARABGAnaAQYIAhABGAjaAQYIAxABGBTaAQQIBBgH2gEGCAUQARgK&sclient=gws-wiz-serp,,not horror
Waitress,22,1109%,11.1,2,19.1,86.0%,3.1,14.0%,22179483,2007,2000's,,,,not horror
WALL·E,521,290%,2.9,180,224,42.9%,298,57.1%,521311890,2008,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=419,"https://en.wikipedia.org/wiki/WALL-E#:~:text=The%20film%20cost%20%24180%20million,States%20on%20June%2027%2C%202008.",,not horror
Wanted,342,457%,4.6,75,135,39.3%,208,60.7%,342463063,2008,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=637,https://en.wikipedia.org/wiki/Wanted_(2008_film),,not horror
War for the Planet of the Apes,491,323%,3.2,152,147,29.9%,344,70.1%,490719763,2017,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=435,"https://en.wikipedia.org/wiki/War_for_the_Planet_of_the_Apes#:~:text=War%20for%20the%20Planet%20of%20the%20Apes%20grossed%20%24146.9%20million,budget%20of%20%24150%E2%80%93152%20million.",,not horror
War of the Worlds,604,457%,4.6,132,234,38.8%,370,61.2%,603873119,2005,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=375,https://en.wikipedia.org/wiki/War_of_the_Worlds_(2005_film),,not horror
War Room,67,2241%,22.4,3,67.2,100.0%,0,0.0%,67217187,2015,2010's,,,,not horror
Warcraft,439,274%,2.7,160,47,10.8%,392,89.2%,439048914,2016,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=485,"https://en.wikipedia.org/wiki/Warcraft_(film)#:~:text=Given%20its%20%24160%20million%20production,in%20order%20to%20break%2Deven.",,not horror
What Women Want,374,534%,5.3,70,183,48.9%,191,51.1%,374111707,2000,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=566,https://en.wikipedia.org/wiki/What_Women_Want,,not horror
When in Rome,33,2514%,25.1,1.3,32.7,100.0%,10.4,31.7%,43040000,2010,2010's,,,,not horror
Who Framed Roger Rabbit,330,660%,6.6,50,156,47.4%,173,52.6%,329803958,1988,1980's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=659,https://en.wikipedia.org/wiki/Who_Framed_Roger_Rabbit,,not horror
Wonder Woman,823,411%,4.1,200,413,50.2%,410,49.8%,822854286,2017,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=288,https://www.google.com/search?q=wonder+woman+budget&oq=wonder+woman+budget&aqs=chrome..69i57j0i512j0i22i30l8.2184j0j4&sourceid=chrome&ie=UTF-8,,not horror
World War Z,540,284%,2.8,190,203,37.5%,338,62.5%,540455876,2013,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=405,"https://en.wikipedia.org/wiki/World_War_Z_(film)#:~:text=Regardless%2C%20the%20film%20was%20a,zombie%20film%20of%20all%20time.",,horror
Wreck-It Ralph,471,286%,2.9,165,189,40.2%,282,59.8%,471222889,2012,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=453,https://en.wikipedia.org/wiki/Wreck-It_Ralph,,not horror
X-Men Origins: Wolverine,373,249%,2.5,150,180,48.2%,193,51.8%,373062864,2009,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=570,https://en.wikipedia.org/wiki/X-Men_Origins:_Wolverine,,not horror
X-Men: Apocalypse,544,306%,3.1,178,155,28.6%,388,71.4%,543934105,2016,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=400,"https://en.wikipedia.org/wiki/X-Men:_Apocalypse#:~:text=X%2DMen%3A%20Apocalypse%20grossed%20%24155.4,a%20budget%20of%20%24178%20million.",,not horror
X-Men: Days of Future Past,746,364%,3.6,205,234,31.4%,512,68.6%,746045700,2014,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=319,https://en.wikipedia.org/wiki/X-Men:_Days_of_Future_Past,,not horror
